roll_no,ktsem1,ktsem2,ktsem3,ktsem4,result
0801IP221054,0,0,0,1,Can Go To Next Sem
0801IP221056,0,0,0,4,Can Go To Next Sem
0801IP221062,0,0,1,3,Can Go To Next Sem
0801IP221067,0,0,0,1,Can Go To Next Sem
0801IP221069,0,0,0,3,Can Go To Next Sem
0801IP221071,0,0,0,5,Can Go To Next Sem
0801IP221077,0,0,1,4,Can Go To Next Sem
0801IP221083,0,0,2,1,Can Go To Next Sem
0801IP221085,0,0,0,2,Can Go To Next Sem
0801IP221087,0,0,0,1,Can Go To Next Sem
0801IP221088,0,0,0,6,SEM BACK
0801IP221089,0,0,0,2,Can Go To Next Sem
0801IP221095,0,0,0,2,Can Go To Next Sem
0801IP221097,0,0,0,1,Can Go To Next Sem
0801IP223D06,0,0,0,2,Can Go To Next Sem
0801IP233D02,0,0,3,4,SEM BACK
0801IP233D03,0,0,0,1,Can Go To Next Sem
0801IP233D05,0,0,0,1,Can Go To Next Sem
0801IP233D07,0,0,0,1,Can Go To Next Sem
0801IP233D08,0,0,0,5,Can Go To Next Sem
0801IT201071,0,0,0,2,Can Go To Next Sem
0801IT201077,0,0,1,2,Can Go To Next Sem
0801IT211023,0,0,4,4,SEM BACK
0801IT211082,0,0,3,1,Can Go To Next Sem
0801IT211083,0,0,0,2,Can Go To Next Sem
0801IT211095,0,0,1,3,Can Go To Next Sem
0801IT211096,0,0,0,1,Can Go To Next Sem
0801IT213D07,0,0,0,1,Can Go To Next Sem
0801IT221012,0,0,1,1,Can Go To Next Sem
0801IT221019,0,0,1,0,Can Go To Next Sem
0801IT221022,0,0,0,1,Can Go To Next Sem
0801IT221024,0,0,0,4,Can Go To Next Sem
0801IT221025,0,0,0,2,Can Go To Next Sem
0801IT221026,0,0,0,1,Can Go To Next Sem
0801IT221033,0,0,0,1,Can Go To Next Sem
0801IT221038,0,0,0,1,Can Go To Next Sem
0801IT221042,0,0,0,4,Can Go To Next Sem
0801IT221044,0,0,1,1,Can Go To Next Sem
0801IT221045,0,0,0,1,Can Go To Next Sem
0801IT221046,0,0,1,2,Can Go To Next Sem
0801IT221049,0,0,0,2,Can Go To Next Sem
0801IT221050,0,0,0,1,Can Go To Next Sem
0801IT221053,0,0,0,2,Can Go To Next Sem
0801IT221054,0,0,0,1,Can Go To Next Sem
0801IT221060,0,0,0,2,Can Go To Next Sem
0801IT221071,0,0,3,1,Can Go To Next Sem
0801IT221073,0,0,0,1,Can Go To Next Sem
0801IT221081,0,0,0,1,Can Go To Next Sem
0801IT221086,0,0,0,1,Can Go To Next Sem
0801IT221087,0,0,0,4,Can Go To Next Sem
0801IT221090,0,0,0,1,Can Go To Next Sem
0801IT221093,0,0,0,1,Can Go To Next Sem
0801IT221102,0,0,0,3,Can Go To Next Sem
0801IT221105,0,0,0,1,Can Go To Next Sem
0801IT221114,0,0,0,1,Can Go To Next Sem
